10,5,10,8,10,200,10
255,128,255,204,255,500,40
378,66,132,106,378,650,25
316,36,439,253,316,725,18
469,20,347,82,163,538,21
240,28,423,118,87,706,64
454,105,393,241,56,444,53
393,196,332,290,117,219,16
270,13,209,192,240,369,61
400,9,477,320,446,303,43
339,101,171,75,263,228,65
370,147,385,198,110,341,24
309,55,324,149,48,416,47
416,124,278,161,339,697,11
324,231,370,333,247,659,52
446,47,247,39,125,509,37
140,16,309,284,309,434,30
263,78,431,382,186,584,15
389,41,289,238,205,617,65
205,11,228,91,389,392,57
450,133,473,287,144,692,27
67,34,335,201,466,523,18
435,95,458,103,98,373,33
159,49,489,372,67,786,22
404,172,244,176,312,486,52
282,110,366,274,435,336,37
274,160,450,342,14,270,64
397,99,83,48,136,420,19
213,68,389,293,443,645,11
458,191,144,97,198,345,41
489,53,420,170,412,233,30
305,83,236,219,351,308,23
75,15,466,207,182,327,47
443,76,343,305,305,777,62
136,106,159,158,121,252,70
381,229,404,354,366,552,40
199,56,460,328,268,530,54
444,178,215,132,23,230,24
322,117,337,230,146,380,69
108,10,368,108,238,793,51
245,79,291,193,406,474,22
368,17,414,95,39,624,37
399,155,444,218,437,587,56
39,21,498,297,383,352,14
222,113,192,150,322,427,36
467,236,437,346,77,727,66
345,52,69,52,199,577,21
192,37,345,77,108,315,10
314,98,467,175,475,765,25
422,44,391,138,154,484,61
483,136,330,187,215,259,38
330,182,483,359,307,446,35
452,121,115,65,429,296,50
387,115,425,264,257,273,23
448,207,364,215,318,498,45
326,23,242,117,441,348,30
173,8,395,190,349,610,34
295,69,272,92,226,460,19
433,16,318,31,395,741,55
280,61,471,251,119,554,51
395,58,219,74,326,770,69
211,27,280,221,20,245,61
456,150,35,25,265,545,31
333,88,402,319,387,695,46
487,104,311,147,111,582,43
349,50,356,160,280,301,14
441,35,448,380,249,413,11
196,157,203,184,494,713,41
105,50,189,99,177,377,21
350,173,434,295,422,677,51
166,81,495,344,116,452,28
411,204,250,148,361,752,58
288,20,373,246,484,602,13
59,12,419,356,285,733,60
304,135,174,160,40,433,30
426,73,296,258,162,283,45
365,43,112,111,101,208,68
151,58,266,185,254,546,56
342,31,488,166,139,255,52
189,16,151,142,47,518,40
434,139,396,338,292,218,10
296,192,442,375,93,536,46
174,131,319,277,461,386,61
235,39,380,228,400,311,38
449,85,411,154,491,574,20
331,60,315,102,380,522,61
484,14,407,274,105,785,57
177,45,101,29,288,260,64
422,167,346,225,43,560,34
300,106,223,127,166,710,49
193,160,392,384,212,691,55
377,68,453,237,273,466,32
400,33,277,133,266,363,39
369,140,369,353,174,400,58
491,79,246,59,51,250,13
185,110,308,206,357,775,20
308,49,430,304,235,325,35
292,163,109,96,281,794,22
415,102,476,390,403,644,67
354,10,170,47,342,569,45
262,87,323,170,128,682,63
382,107,329,98,440,478,55
352,245,298,220,103,440,36
474,61,176,122,225,290,51
290,92,482,269,42,215,59
428,23,436,232,333,534,27
244,53,130,85,26,459,34
489,176,375,281,271,759,64
367,115,252,183,394,609,19
222,19,474,42,202,487,20
