15,5,30,20,200,10
308,128,115,70,500,40
454,66,72,45,650,55
234,97,136,108,425,18
381,36,179,82,575,62
125,82,189,64,538,29
563,20,147,39,388,44
198,51,83,76,762,36
490,173,168,26,462,66
362,242,195,36,669,38
216,181,152,61,219,53
289,28,173,48,294,61
435,89,131,23,744,16
106,43,120,104,706,49
545,105,163,79,256,34
253,227,78,29,556,64
180,74,57,42,631,42
472,196,142,92,331,12
326,13,99,67,481,27
335,193,65,25,584,35
481,9,192,100,734,20
189,131,107,50,434,50
554,162,128,112,659,28
408,101,86,37,509,13
445,147,160,68,322,24
298,208,118,43,772,69
225,116,181,31,697,47
518,239,96,81,397,17
371,55,139,56,247,32
499,124,123,59,603,60
280,93,102,97,228,22
573,216,187,47,528,52
390,231,155,103,491,56
536,47,112,28,341,41
244,170,197,78,641,11
170,16,134,90,566,33
463,139,49,40,266,63
317,78,176,115,416,48
321,225,84,54,289,67
467,41,127,79,439,52
175,164,42,29,739,22
248,11,106,41,664,29
541,133,191,91,364,59
431,179,138,35,627,48
285,240,180,60,477,33
212,87,116,47,402,10
358,26,159,22,552,55
84,34,143,69,758,42
522,95,185,44,308,27
230,217,100,94,608,57
595,248,122,32,233,20
120,80,90,25,495,61
413,202,175,75,795,31
266,141,132,100,345,46
193,49,196,113,270,69
486,172,111,63,570,39
339,110,154,88,720,24
330,160,183,105,205,17
477,99,55,30,355,32
257,68,161,93,730,55
550,191,76,43,430,25
403,7,119,118,280,40
148,114,130,36,242,58
586,53,172,61,692,13
513,145,151,49,767,36
367,83,108,74,617,21
349,214,135,65,373,64
495,30,92,90,223,49
202,152,177,40,523,19
276,61,156,27,598,26
422,122,199,52,448,41
93,15,188,71,411,23
385,137,103,21,711,53
531,76,146,96,561,68
239,198,61,46,261,38
166,106,82,58,336,15
458,229,167,108,636,45
312,45,39,33,786,60
314,209,165,89,441,21
168,148,122,114,591,66
241,56,186,102,516,43
534,178,101,52,216,13
387,117,144,77,366,28
132,10,154,45,479,69
570,71,197,20,629,24
278,194,112,70,329,54
497,224,133,33,554,32
